Date,nom_ar,nom_fr,unite,valeur
2025-12-06 03:00:00,L'humidité du sol,L'humidité du sol,mV,563.1
2025-12-06 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-06 03:00:00,Température,Température,°c,11.4
2025-12-05 23:00:00,L'humidité du sol,L'humidité du sol,mV,563.8
2025-12-05 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 23:00:00,Température,Température,°c,12.0
2025-12-05 21:00:00,L'humidité du sol,L'humidité du sol,mV,564.3
2025-12-05 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 21:00:00,Température,Température,°c,12.5
2025-12-05 19:00:00,L'humidité du sol,L'humidité du sol,mV,564.6
2025-12-05 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 19:00:00,Température,Température,°c,13.1
2025-12-05 17:00:00,L'humidité du sol,L'humidité du sol,mV,565.5
2025-12-05 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 17:00:00,Température,Température,°c,13.8
2025-12-05 15:00:00,L'humidité du sol,L'humidité du sol,mV,565.4
2025-12-05 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 15:00:00,Température,Température,°c,13.8
2025-12-05 13:00:00,L'humidité du sol,L'humidité du sol,mV,564.8
2025-12-05 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 13:00:00,Température,Température,°c,13.0
2025-12-05 11:00:00,L'humidité du sol,L'humidité du sol,mV,564.2
2025-12-05 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 11:00:00,Température,Température,°c,12.1
2025-12-05 07:00:00,L'humidité du sol,L'humidité du sol,mV,563.7
2025-12-05 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 07:00:00,Température,Température,°c,11.7
2025-12-05 05:00:00,L'humidité du sol,L'humidité du sol,mV,563.9
2025-12-05 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 05:00:00,Température,Température,°c,11.7
2025-12-05 01:00:00,L'humidité du sol,L'humidité du sol,mV,563.6
2025-12-05 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-05 01:00:00,Température,Température,°c,11.4
2025-12-04 23:00:00,L'humidité du sol,L'humidité du sol,mV,564.0
2025-12-04 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-04 23:00:00,Température,Température,°c,11.8
