Date,nom_ar,nom_fr,unite,valeur
2025-12-14 05:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.8
2025-12-14 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-14 05:00:00,Point de Rosée,Point de Rosée,°c,10.0
2025-12-14 05:00:00,Humidité relative,Humidité relative,%,92.1
2025-12-14 05:00:00,Température,Température,°c,11.2
2025-12-14 05:00:00,Direction du vent,Direction du vent,Deg,281.8
2025-12-14 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.96
2025-12-14 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-14 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 03:00:00,Pression atmosphérique,Pression atmosphérique,hPa,992.9
2025-12-14 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-14 03:00:00,Point de Rosée,Point de Rosée,°c,9.6
2025-12-14 03:00:00,Humidité relative,Humidité relative,%,94.4
2025-12-14 03:00:00,Température,Température,°c,10.5
2025-12-14 03:00:00,Direction du vent,Direction du vent,Deg,268.7
2025-12-14 03:00:00,Vitesse du vent,Vitesse du vent,m/s,1.16
2025-12-14 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-14 01:00:00,Vitesse du vent,Vitesse du vent,m/s,1.49
2025-12-14 01:00:00,Direction du vent,Direction du vent,Deg,295.3
2025-12-14 01:00:00,Température,Température,°c,11.1
2025-12-14 01:00:00,Humidité relative,Humidité relative,%,93.6
2025-12-14 01:00:00,Point de Rosée,Point de Rosée,°c,10.1
2025-12-14 01:00:00,Pression atmosphérique,Pression atmosphérique,hPa,993.1
2025-12-14 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-14 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.65
2025-12-13 23:00:00,Direction du vent,Direction du vent,Deg,276.6
2025-12-13 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.87
2025-12-13 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-13 23:00:00,Pression atmosphérique,Pression atmosphérique,hPa,993.7
2025-12-13 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-13 23:00:00,Vitesse du vent,Vitesse du vent,m/s,1.02
2025-12-13 23:00:00,Point de Rosée,Point de Rosée,°c,10.9
2025-12-13 23:00:00,Humidité relative,Humidité relative,%,89.8
2025-12-13 23:00:00,Température,Température,°c,12.5
2025-12-13 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.21
2025-12-13 21:00:00,Direction du vent,Direction du vent,Deg,289.1
2025-12-13 21:00:00,Température,Température,°c,13.6
2025-12-13 21:00:00,Humidité relative,Humidité relative,%,82.4
